Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002888,E02002898,105,0,0,1,41,1,3,34,7,7,11,0,3894.011318752885,0.0339816678529001,0.06666666666666667,0.10639809587841907,0.6265776291978623,10,17,0.1619047619047619,3.894011318752885,3-4 km,2-4 km
E02002888,E02002899,21,0,0,0,11,0,0,8,1,1,0,0,6632.47605720234,0.021218588927043293,0.047619047619047616,0.08299408314684033,0.573764367452507,2,3,0.14285714285714285,6.632476057202339,6-7 km,6-8 km
E02002888,E02006904,339,0,1,2,100,2,1,57,12,12,151,1,2285.8822247383796,0.03678161220184775,0.035398230088495575,0.10641752722209069,0.33263533754754854,35,47,0.13864306784660768,2.2858822247383794,2-3 km,2-4 km
E02002888,E02006905,86,0,0,0,28,0,0,29,6,12,11,0,3418.9243565483007,0.043688075885633414,0.13953488372093023,0.10799087084179843,1.2920988842227443,8,20,0.23255813953488372,3.4189243565483007,3-4 km,2-4 km
E02002889,E02002869,15,0,1,0,9,0,1,3,0,1,0,0,6529.712748133695,0.026137908521689422,0.06666666666666667,0.08385722937115665,0.7950020191055488,1,2,0.13333333333333333,6.5297127481336945,6-7 km,6-8 km
E02002889,E02002872,12,0,6,0,3,0,0,1,0,1,1,0,6030.754310163958,0.020945503786494332,0.08333333333333333,0.08902029698995144,0.93611610105884,1,2,0.16666666666666666,6.030754310163958,6-7 km,6-8 km
E02002889,E02002874,18,0,1,0,4,0,0,7,3,0,3,0,4134.147764934131,0.01975242736607275,0,0.10555253049896246,0,2,2,0.1111111111111111,4.134147764934132,4-5 km,4-6 km
E02002889,E02002876,13,0,0,0,7,0,0,3,0,0,3,0,3766.2861578926895,0.031058644748579584,0,0.10716321634053183,0,1,1,0.07692307692307693,3.7662861578926896,3-4 km,2-4 km
E02002889,E02002877,19,0,0,0,5,0,0,10,0,1,3,0,3267.6128514919524,0.03543175269944938,0.05263157894736842,0.1086781759237857,0.48428839093028314,2,3,0.15789473684210525,3.2676128514919522,3-4 km,2-4 km
E02002889,E02002879,18,0,1,0,5,0,1,5,0,0,6,0,2501.8826538885137,0.01675769549509842,0,0.10848037446880426,0,2,2,0.1111111111111111,2.5018826538885137,2-3 km,2-4 km
E02002889,E02002881,13,0,0,0,2,0,0,11,0,0,0,0,5144.04990718285,0.02791465605864807,0,0.09725331875248805,0,1,1,0.07692307692307693,5.14404990718285,5-6 km,4-6 km
E02002889,E02002882,15,0,0,0,5,0,0,3,0,0,7,0,1584.4632628870254,0.04083085427920343,0,0.09774532396521209,0,1,1,0.06666666666666667,1.5844632628870254,1-2 km,0-2 km
E02002889,E02002884,18,0,0,0,2,0,0,6,0,0,10,0,1589.0416169502498,0.03650958590815057,0,0.0979713902052561,0,2,2,0.1111111111111111,1.58904161695025,1-2 km,0-2 km
E02002889,E02002885,38,0,2,0,4,0,0,15,1,1,15,0,1213.5426855781898,0.02853945090342503,0.02631578947368421,0.09012363952811679,0.29199652401381554,3,4,0.10526315789473684,1.2135426855781897,1-2 km,0-2 km
E02002889,E02002886,12,0,0,0,6,0,0,3,1,0,2,0,2389.7880077023674,0.027631014479731646,0,0.10745379512607348,0,1,1,0.08333333333333333,2.3897880077023674,2-3 km,2-4 km
E02002889,E02002887,12,0,1,0,4,0,0,1,0,1,4,1,4292.575055786596,0.03098305824992716,0.08333333333333333,0.10404824040686192,0.8009105488711133,1,2,0.16666666666666666,4.292575055786596,4-5 km,4-6 km
E02002889,E02002888,14,0,0,0,3,0,0,7,0,2,2,0,2348.992217557019,0.029768990687464515,0.14285714285714285,0.10711643932488359,1.3336621694813613,1,3,0.21428571428571427,2.348992217557019,2-3 km,2-4 km
E02002889,E02002889,256,0,4,0,29,1,0,26,1,4,190,1,0,0.035988227098381904,0.015625,0.021291935966519942,0.733845904128643,5,9,0.03515625,0,NA,NA
E02002889,E02002890,204,0,2,2,17,1,1,11,0,5,163,2,1432.1990667659293,0.03328614841514191,0.024509803921568627,0.09505374685844431,0.2578520545651825,19,24,0.11764705882352941,1.4321990667659292,1-2 km,0-2 km
E02002889,E02002892,11,0,0,0,4,0,0,4,1,1,1,0,5741.017607089834,0.01642285028713719,0.09090909090909091,0.092039758162314,0.9877154473697212,1,2,0.18181818181818182,5.741017607089834,5-6 km,4-6 km
