geo_code1,geo_code2,all,bicycle,foot,dist,slope
E02000001,E02000595,562,12,3,8.31,1.35
E02000001,E02000596,609,26,5,8.69,1.3
E02000001,E02000597,234,15,5,8.67,1.28
E02000001,E02000599,189,2,1,19.8,1.24
E02000001,E02000600,195,0,0,19.9,1.36
E02000001,E02000619,318,36,80,4.02,1.39
E02000001,E02000620,419,71,59,4.67,1.29
E02000001,E02000621,505,71,20,5.83,1.01
E02000001,E02000622,359,58,14,5.51,0.8
E02000001,E02000623,188,18,3,6.38,0.97
E02000001,E02000624,297,35,11,5.92,0.79
E02000001,E02000625,230,23,1,7.08,0.99
E02000001,E02000626,142,19,2,7.15,0.76
E02000001,E02000627,511,60,4,7.38,0.77
E02000001,E02000628,215,14,1,6.85,0.79
E02000001,E02000629,723,80,4,7.74,1.01
E02000001,E02000630,628,69,6,8.42,1.1
E02000001,E02000631,341,50,1,7.95,0.88
E02000001,E02000632,848,97,5,8.53,0.84
E02000001,E02000633,280,27,4,7.82,0.81
E02000001,E02000634,446,41,3,8.7,0.85
E02000001,E02000635,347,37,1,8.19,0.79
E02000001,E02000636,894,90,4,9.73,0.87
E02000001,E02000637,347,51,3,8.68,0.84
E02000001,E02000638,357,34,5,9.79,0.99
E02000001,E02000639,209,14,1,10.1,0.96
E02000001,E02000640,633,72,1,10.3,0.9
E02000001,E02000641,167,14,1,9.45,1.03
E02000001,E02000642,367,34,1,11.1,1.22
E02000001,E02000643,319,30,1,11,1.04
E02000001,E02000644,264,26,0,11.4,1.04
E02000001,E02000645,338,34,3,11.8,1.06
E02000001,E02000646,315,26,0,12.1,1.13
E02000001,E02000647,228,16,1,12.3,1.29
E02000001,E02000648,130,11,2,12.4,1.12
E02000001,E02000649,392,36,0,12.4,1.1
E02000001,E02000650,178,15,0,12.3,1.42
E02000001,E02000651,221,15,0,14.1,1.32
E02000001,E02000652,113,4,1,14.8,0.98
E02000001,E02000653,332,27,7,6.93,0.91
E02000001,E02000654,150,7,2,8.3,0.78
E02000001,E02000655,246,14,4,7.53,0.65
E02000001,E02000657,301,18,4,9.49,0.98
E02000001,E02000658,204,15,2,8.11,0.74
E02000001,E02000659,388,22,3,11.3,0.97
E02000001,E02000660,404,26,1,9.93,1.25
E02000001,E02000661,459,25,0,12.5,0.98
E02000001,E02000662,200,8,4,9.22,1.08
E02000001,E02000663,185,12,0,10.7,1.32
E02000001,E02000664,310,16,2,12,1.24
E02000001,E02000665,303,24,5,12.5,1.13
E02000001,E02000666,192,8,1,10.8,1.15
E02000001,E02000667,173,9,0,10.6,1.07
E02000001,E02000668,267,10,4,13.9,1.36
E02000001,E02000669,289,11,1,13.1,1.32
E02000001,E02000670,122,3,0,13.1,1.19
E02000001,E02000671,295,26,0,11.1,1.12
E02000001,E02000672,189,15,0,12.2,1.21
E02000001,E02000673,311,14,1,10.4,1.25
E02000001,E02000674,152,3,0,14.2,1.16
E02000001,E02000675,248,10,3,15.1,1.36
E02000001,E02000676,245,17,1,12.1,1.1
E02000001,E02000677,155,10,0,13.6,1.14
E02000001,E02000678,82,2,1,15,1.33
E02000001,E02000679,254,12,2,12.1,1.49
E02000001,E02000680,161,10,3,11.7,1.63
E02000001,E02000681,119,3,1,13.2,1.17
E02000001,E02000682,81,3,0,15,1.25
E02000001,E02000683,160,3,0,16.9,1.42
E02000001,E02000685,209,3,2,12.3,1.76
E02000001,E02000686,85,2,0,14.7,1.18
E02000001,E02000687,200,5,2,13.9,1.27
E02000001,E02000689,471,31,1,14.1,1.35
E02000001,E02000690,346,14,1,16.2,1.02
E02000001,E02000691,432,9,1,15,1.1
E02000001,E02000692,567,16,1,16.3,1.2
E02000001,E02000693,423,20,2,15,0.98
E02000001,E02000694,535,26,1,15.3,1.13
E02000001,E02000695,111,2,1,14.7,0.98
E02000001,E02000696,189,2,0,15.1,1
E02000001,E02000697,608,10,0,16.3,1.06
E02000001,E02000698,384,14,0,18.6,1.2
E02000001,E02000699,362,12,1,17.5,1.12
E02000001,E02000700,149,7,1,16.7,0.95
E02000001,E02000701,105,4,0,15.8,0.94
E02000001,E02000702,94,5,1,16.1,0.94
E02000001,E02000703,250,14,2,17.7,1
E02000001,E02000704,283,8,2,18.1,1.14
E02000001,E02000705,106,1,4,16,0.93
E02000001,E02000706,72,3,0,16.9,0.95
E02000001,E02000707,50,0,1,17.1,0.91
E02000001,E02000708,205,3,2,19.7,1.13
E02000001,E02000709,154,5,0,19.5,1.05
E02000001,E02000710,81,1,1,17.4,0.86
E02000001,E02000711,125,2,1,18.4,0.9
E02000001,E02000712,91,2,1,19.6,0.94
E02000001,E02000714,215,8,2,10.6,0.96
E02000001,E02000715,113,1,1,12.8,0.61
E02000001,E02000716,127,2,3,11.5,0.61
E02000001,E02000717,127,1,0,12.1,0.61
E02000001,E02000718,70,3,0,12.7,0.61
E02000001,E02000719,198,3,0,9.96,0.98
E02000001,E02000720,117,1,2,10.5,0.65
E02000001,E02000721,147,8,1,10.5,0.65
E02000001,E02000722,263,6,0,8.97,0.74
E02000001,E02000723,200,0,0,12.4,0.6
E02000001,E02000724,119,4,1,11.5,0.63
E02000001,E02000725,421,14,2,8.44,0.77
E02000001,E02000726,482,19,5,7.56,0.78
E02000001,E02000727,124,0,4,10.9,0.7
E02000001,E02000728,134,0,0,13,0.77
E02000001,E02000729,127,1,0,9.53,0.79
E02000001,E02000730,152,1,4,10.2,0.74
E02000001,E02000731,136,0,0,12,0.81
E02000001,E02000732,97,2,2,11.5,0.84
E02000001,E02000733,204,4,1,8.38,0.84
E02000001,E02000734,151,3,1,9.15,0.81
E02000001,E02000735,109,0,0,10.5,0.87
E02000001,E02000736,100,1,2,13,0.79
E02000001,E02000737,143,7,2,12.2,0.8
E02000001,E02000738,142,4,3,11.3,0.84
E02000001,E02000739,117,0,3,9.66,0.91
E02000001,E02000740,134,3,0,9.39,0.87
E02000001,E02000741,147,6,3,10.5,0.88
E02000001,E02000742,121,2,0,11.8,0.83
E02000001,E02000743,126,4,3,9.94,0.9
E02000001,E02000744,116,2,0,10.2,0.82
E02000001,E02000745,179,8,0,11.2,0.76
E02000001,E02000746,167,4,0,13.6,0.76
E02000001,E02000747,591,13,5,10.1,0.89
E02000001,E02000748,127,1,1,12.4,0.74
E02000001,E02000749,121,2,1,11.3,0.72
E02000001,E02000750,516,16,4,12.3,0.9
E02000001,E02000751,502,8,1,16,1.02
E02000001,E02000754,248,1,0,17,0.99
E02000001,E02000755,152,0,0,16.8,0.99
E02000001,E02000756,415,2,2,18.4,0.94
E02000001,E02000757,635,12,2,14.5,1.07
E02000001,E02000758,116,1,0,16.8,0.97
E02000001,E02000759,474,7,4,15.1,0.99
E02000001,E02000760,181,0,0,17.1,0.96
E02000001,E02000762,172,2,0,15.7,0.98
E02000001,E02000763,158,0,1,16.9,0.7
E02000001,E02000764,676,20,2,13.5,0.94
E02000001,E02000765,187,1,1,16,0.89
E02000001,E02000767,230,1,0,16.1,0.72
E02000001,E02000768,256,7,0,14.1,0.99
E02000001,E02000769,360,3,4,18.4,0.7
E02000001,E02000770,169,1,1,15.9,0.68
E02000001,E02000772,190,1,2,17.2,0.69
E02000001,E02000773,203,2,1,14.9,0.7
E02000001,E02000774,129,5,2,16.4,0.67
E02000001,E02000776,165,2,1,14.4,0.71
E02000001,E02000777,184,6,1,12.1,0.76
E02000001,E02000779,226,1,6,13.7,0.74
E02000001,E02000780,342,3,16,14.5,0.73
E02000001,E02000781,299,4,2,15.9,0.71
E02000001,E02000782,149,2,2,14,0.8
E02000001,E02000783,79,1,1,14.9,0.88
E02000001,E02000784,466,35,0,13.1,1.37
E02000001,E02000785,423,18,0,17.3,1.11
E02000001,E02000786,489,35,2,14.7,1.35
E02000001,E02000787,345,11,3,16.4,1.12
E02000001,E02000788,373,42,1,15.9,1.31
E02000001,E02000789,327,11,4,17.8,1.18
E02000001,E02000790,278,8,1,19.4,1.12
E02000001,E02000791,355,5,2,18.6,1.18
E02000001,E02000792,276,5,3,19.3,1.21
E02000001,E02000795,212,18,0,19.2,1.22
E02000001,E02000807,823,71,60,5.92,1.13
E02000001,E02000808,940,55,630,2.4,1.54
E02000001,E02000809,1917,103,1318,3.22,1.49
E02000001,E02000810,505,39,204,4.56,0.96
E02000001,E02000812,660,68,348,3.53,1.13
E02000001,E02000813,405,21,51,5.09,1.08
E02000001,E02000814,736,69,18,6.57,1.07
E02000001,E02000815,402,37,194,3.43,1.22
E02000001,E02000816,336,35,66,5.4,0.89
E02000001,E02000817,187,24,12,5.23,1.01
E02000001,E02000818,240,37,41,4.31,0.97
E02000001,E02000819,306,26,44,4.92,0.85
E02000001,E02000820,346,46,39,4.46,0.94
E02000001,E02000821,155,12,15,4.88,0.88
E02000001,E02000822,173,14,18,4.81,0.87
E02000001,E02000823,270,34,29,5.34,0.86
E02000001,E02000824,130,9,8,6.3,0.75
E02000001,E02000825,181,11,8,6.52,0.77
E02000001,E02000826,211,26,12,6.18,0.73
E02000001,E02000827,220,17,11,5.8,0.78
E02000001,E02000828,162,11,7,6.77,0.72
E02000001,E02000829,288,24,10,7.26,0.7
E02000001,E02000830,344,43,8,7.31,0.89
E02000001,E02000831,359,44,6,7.64,0.73
E02000001,E02000832,231,18,13,8.29,0.74
E02000001,E02000833,188,13,3,7.4,1.24
E02000001,E02000834,508,57,22,8.6,0.83
E02000001,E02000835,215,22,4,9.14,0.95
E02000001,E02000836,489,56,8,9.32,0.77
E02000001,E02000837,520,74,3,8.59,1.34
