Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001046,E02001056,11,0,0,0,1,0,0,5,1,0,4,0,6760.336743970737,0.02066337832816438,0,0.034870258509127804,0,0,0,0,6.760336743970737,6-7 km,6-8 km
E02001046,E02001057,25,0,0,0,9,0,0,15,0,0,1,0,6114.183793521082,0.01736919135788712,0,0.04362609719870978,0,1,1,0.04,6.114183793521082,6-7 km,6-8 km
E02001046,E02001059,64,0,0,0,15,0,0,35,9,1,4,0,6760.422549121004,0.01802937229527972,0.015625,0.038994848535016884,0.400693952842744,2,3,0.046875,6.760422549121004,6-7 km,6-8 km
E02001046,E02001061,18,0,0,0,2,0,0,10,3,0,3,0,8740.559080777603,0.02043634348416969,0,0.02661332954646903,0,0,0,0,8.740559080777603,8-9 km,8-10 km
E02001046,E02001062,63,0,0,0,21,0,0,37,1,2,2,0,8232.77869573025,0.01655026449293487,0.031746031746031744,0.033847850848944684,0.9379039126503811,2,4,0.06349206349206349,8.23277869573025,8-9 km,8-10 km
E02001046,E02001063,12,0,0,0,3,1,0,6,1,1,0,0,8845.908524748394,0.02388195883732813,0.08333333333333333,0.022569063940838303,3.692369942846553,0,1,0.08333333333333333,8.845908524748394,8-9 km,8-10 km
E02001046,E02001064,31,0,0,0,4,0,1,26,0,0,0,0,9761.03629277504,0.02040725539215402,0,0.02299958013179667,0,1,1,0.03225806451612903,9.761036292775039,9-10 km,8-10 km
E02001046,E02001066,45,0,1,0,11,0,0,29,3,0,1,0,9859.926039864748,0.01749200214412561,0,0.02573691692421928,0,1,1,0.022222222222222223,9.859926039864748,9-10 km,8-10 km
E02001046,E02001070,12,0,0,0,4,0,0,6,0,1,1,0,10613.6171577132,0.01853941381590174,0.08333333333333333,0.022092238207442955,3.772063860204894,0,1,0.08333333333333333,10.6136171577132,10-11 km,10-11 km
E02001046,E02001262,14,0,0,0,3,0,0,9,1,0,1,0,10983.584261670989,0.01898340173761142,0,0.020572712373060274,0,0,0,0,10.98358426167099,10-11 km,10-11 km
E02001046,E02006902,266,0,4,0,141,0,0,92,18,5,6,0,5729.821357126761,0.02189356846681711,0.018796992481203006,0.037871577741658204,0.49633507770463386,10,15,0.05639097744360902,5.72982135712676,5-6 km,4-6 km
E02001046,E02006912,167,0,0,2,66,2,2,65,14,2,14,0,7168.289251761973,0.02020995900131195,0.011976047904191617,0.03361418516867931,0.3562795838749213,6,8,0.04790419161676647,7.168289251761973,7-8 km,6-8 km
E02001046,E02006913,97,0,1,0,31,3,0,40,4,9,9,0,3791.72771501934,0.0205476657195538,0.09278350515463918,0.048765374680209285,1.9026513333095338,4,13,0.13402061855670103,3.79172771501934,3-4 km,2-4 km
E02001046,E02006914,39,0,3,0,18,0,0,11,7,0,0,0,8025.740923195328,0.016707416966134273,0,0.034623206612219105,0,1,1,0.02564102564102564,8.025740923195327,8-9 km,8-10 km
E02001046,E02006915,35,0,0,0,5,0,0,17,3,3,7,0,4188.899964819752,0.02337958640141005,0.08571428571428572,0.04213779042075106,2.034142864597739,1,4,0.11428571428571428,4.188899964819752,4-5 km,4-6 km
E02001046,E02006917,88,0,1,3,47,0,0,18,8,4,7,0,7452.061464040307,0.02207275070034248,0.045454545454545456,0.0298263376076694,1.5239734107635627,3,7,0.07954545454545454,7.452061464040307,7-8 km,6-8 km
E02001047,E02001045,49,0,0,0,3,3,1,28,3,2,8,1,3800.463502395373,0.0224456574455747,0.04081632653061224,0.04517097296281923,0.9035963552126417,2,4,0.08163265306122448,3.800463502395373,3-4 km,2-4 km
E02001047,E02001046,61,0,0,0,7,2,0,30,7,1,14,0,2293.359061476589,0.0280897553921322,0.01639344262295082,0.03819458997622604,0.42920849872075617,2,3,0.04918032786885246,2.293359061476589,2-3 km,2-4 km
E02001047,E02001047,175,0,0,2,22,1,1,52,7,3,84,3,0,0.02279674939412697,0.017142857142857144,0.012114461356931797,1.415073822745585,2,5,0.02857142857142857,0,NA,NA
E02001047,E02001049,55,0,0,0,12,2,0,12,6,0,23,0,1388.5328471819648,0.02121802627205166,0,0.04550218047732453,0,3,3,0.05454545454545454,1.388532847181965,1-2 km,0-2 km
E02001047,E02001050,166,0,0,0,54,1,0,84,16,2,9,0,2748.7895637475476,0.0300691576634095,0.012048192771084338,0.03529123456810901,0.341393349326796,6,8,0.04819277108433735,2.7487895637475477,2-3 km,2-4 km
E02001047,E02001051,85,0,0,0,16,0,0,41,9,1,18,0,1843.6114632894903,0.02718173154876528,0.011764705882352941,0.038741191078825926,0.3036743464705442,3,4,0.047058823529411764,1.8436114632894902,1-2 km,0-2 km
E02001047,E02001052,57,0,0,2,12,2,2,30,4,1,4,0,4608.77933597956,0.02281149268458099,0.017543859649122806,0.04142636516839832,0.42349502732877853,2,3,0.05263157894736842,4.60877933597956,4-5 km,4-6 km
E02001047,E02001053,30,0,0,0,7,1,0,17,4,0,1,0,3668.0661561786414,0.02106115129765938,0,0.048184849357130743,0,1,1,0.03333333333333333,3.6680661561786416,3-4 km,2-4 km
E02001047,E02001055,64,0,0,0,7,1,1,39,9,2,5,0,3163.5247966905013,0.01984507455637249,0.03125,0.05191702294972534,0.6019220329767642,3,5,0.078125,3.1635247966905014,3-4 km,2-4 km
E02001047,E02001057,29,0,0,0,5,0,0,20,2,1,1,0,6070.387415343458,0.01963985030506776,0.034482758620689655,0.03988266577076706,0.8646051600182806,1,2,0.06896551724137931,6.0703874153434585,6-7 km,6-8 km
E02001047,E02001059,74,0,0,0,13,0,0,52,6,0,3,0,5883.617841074337,0.02372006178607127,0,0.03439753413747841,0,3,3,0.04054054054054054,5.8836178410743365,5-6 km,4-6 km
E02001047,E02001061,33,0,0,0,6,0,0,23,3,1,0,0,7277.307527452748,0.02406734022657992,0.030303030303030304,0.028059878120816537,1.0799416224316976,1,2,0.06060606060606061,7.277307527452749,7-8 km,6-8 km
E02001047,E02001062,73,0,0,0,22,0,3,40,4,1,3,0,8485.030700441774,0.03278638843121997,0.0136986301369863,0.016131070825101672,0.8492077361454372,1,2,0.0273972602739726,8.485030700441774,8-9 km,8-10 km
E02001047,E02001063,24,0,1,0,8,0,1,11,3,0,0,0,9353.095775580392,0.02252646450537599,0,0.022243666662567156,0,1,1,0.041666666666666664,9.353095775580393,9-10 km,8-10 km
E02001047,E02001064,41,0,0,0,2,0,0,33,4,0,2,0,8760.68608015156,0.03503856676804314,0,0.014033688955783474,0,1,1,0.024390243902439025,8.76068608015156,8-9 km,8-10 km
E02001047,E02001066,49,0,0,0,17,0,0,26,5,0,1,0,9492.702000157156,0.02283473960660937,0,0.021508587119081827,0,1,1,0.02040816326530612,9.492702000157156,9-10 km,8-10 km
E02001047,E02001070,24,0,1,1,5,0,0,15,1,1,0,0,10865.869162424726,0.0256467433120012,0.041666666666666664,0.015638842469098763,2.664306309689929,0,1,0.041666666666666664,10.865869162424726,10-11 km,10-11 km
E02001047,E02001259,30,0,1,0,7,0,0,15,5,1,1,0,10866.519768059645,0.02252244803699443,0.03333333333333333,0.017924217163172385,1.8596814036498601,1,2,0.06666666666666667,10.866519768059645,10-11 km,10-11 km
E02001047,E02006902,270,0,0,8,126,1,2,94,22,8,9,0,6512.279692773419,0.02576105632702934,0.02962962962962963,0.029023735035145687,1.0208758312377868,8,16,0.05925925925925926,6.512279692773419,6-7 km,6-8 km
E02001047,E02006912,161,0,0,3,70,4,1,62,15,4,1,1,7420.541256473495,0.02585589756454777,0.024844720496894408,0.025456177911700174,0.9759799991606467,4,8,0.049689440993788817,7.420541256473495,7-8 km,6-8 km
E02001047,E02006913,71,0,0,1,15,6,2,36,5,2,4,0,5252.450079126809,0.01803069150740841,0.028169014084507043,0.04706620643840839,0.5984976529045203,3,5,0.07042253521126761,5.25245007912681,5-6 km,4-6 km
